Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
CoCo Hand Cream with Coffee & Cocoa for Rich Moisturization,Coco Hand Cream With Coffee & Cocoa For Rich Moisturization,Not Rated,499, 100 g, 100 ,,100,gram,Weight,0%,Face Mask,Vitamin C ,vitamin c face mask vitamin c kaolin clay skin illumination,Vitamin C,,,,,
Coco Intense Skin Awakening Kit,Coco Intense Skin Awakening Kit,Not Rated,599, 100 g, 100 ,,100,gram,Weight,0%,Unknown ,Vitamin C ,vitamin c sleep mask aloe vera skin illumination,Vitamin C,,,,,
CoCo Yogurt with Coffee and Cocoa for Rich Moisturization  ,Coco Yogurt With Coffee And Cocoa For Rich Moisturization  ,4.8,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Unknown ,onion hair mask hair fall control onion oil organic bamboo vinegar,Unknown,,,,,
Complete Skin Glow Kit,Complete Skin Glow Kit,Not Rated,999,NA,NA,,NA,NA,NA,28%,Hair Kit,Unknown ,hairfall control kit,Unknown,,,,,
Day and Night Face Wash Combo,Day And Night Face Wash Combo,4.9,349, 250ml, 250,l,250,ml,Volumn,0%,Unknown ,Argan Oil ,argan conditioner argan apple cider vinegar frizz free strong hair,Argan Oil,,,,,
Essential AntiHair Fall Kit,Essential Antihair Fall Kit,Not Rated,679,NA,NA,,NA,NA,NA,3%,Hair Oil,Onion Seed Extract  Onion Seed Oil ,onion hair serum onion hair oil combo,Onion Seed Extract Onion Seed Oil,,,,,
Hair Fall Control Kit,Hair Fall Control Kit,Not Rated,599, 250ml, 250,l,250,ml,Volumn,0%,Hair Oil,Onion Seed Oil ,onion hair oil hair regrowth hair fall control,Onion Seed Oil,,,,,
Hair Fall Control Regime Combo: Onion Shampoo 250ml and Onion Hair Mask,Hair Fall Control Regime Combo: Onion Shampoo 250Ml And Onion Hair Mask,Not Rated,349, 100g, 100,,100,gram,Weight,0%,Unknown ,Turmeric ,ubtan face scrub turmeric walnut tan removal,Turmeric,,,,,
Hair Fall Control Regime Combo: Onion Shampoo 250ml and Onion Hair Mask,Hair Fall Control Regime Combo: Onion Shampoo 250Ml And Onion Hair Mask,Not Rated,399,200 ml,200 ,l,200,ml,Volumn,0%,Unknown ,Vitamin C ,vitamin c face toner vitamin c cucumber pore tightening,Vitamin C,,,,,
Hair Fall Reduction Combo,Hair Fall Reduction Combo,Not Rated,399, 300ml, 300,l,300,ml,Volumn,0%,Body Kit,Aloe Vera  ,aloe vera gel pure aloe vera vitamin e skin hair,Aloe Vera,,,,,
Hair Regrowth Combo : Onion Shampoo and Onion Conditioner,Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,Not Rated,299,100 ml,100 ,l,100,ml,Volumn,0%,Unknown ,Onion Seed Extract ,onion hair serum onion biotin strong frizz free hair,Onion Seed Extract,,,,,
Hair Regrowth Combo : Onion Shampoo and Onion Conditioner,Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,Not Rated,599, 30 ml, 30 ,l,30,ml,Volumn,0%,Face Cream,Niacinamide ,skin correct face serum niacinamide ginger extract acne marks scars,Niacinamide,,,,,
Hair Regrowth Combo : Onion Shampoo and Onion Conditioner,Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,Not Rated,599, 30 gm, 30 ,m,30,gram,Weight,0%,Face Cream,Vitamin C ,skin illuminate face serum radiant skin vitamin c turmeric,Vitamin C,,,,,
Hair Regrowth Combo : Onion Shampoo and Onion Conditioner,Hair Regrowth Combo : Onion Shampoo And Onion Conditioner,Not Rated,399,20ml,20,l,20,ml,Volumn,0%,Unknown ,Cucumber Extract  Daisy Flower Extract  Peptides  Hawkweed Extract ,bye bye dark circles eye cream cucumber peptides dark circles,Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract,,,,,
Hairfall Control Kit,Hairfall Control Kit,5,559, 400ml, 400,l,400,ml,Volumn,0%,Hair Kit,Onion Seed Oil ,onion shampoo hair growth hair fall control onion oil plant keratin,Onion Seed Oil,,,,,
Hairfall Control Kit,Hairfall Control Kit,Not Rated,559, 400ml, 400,l,400,ml,Volumn,0%,Unknown ,Onion Seed Oil  Coconut  ,onion conditioner hair growth hair fall control onion coconut,Onion Seed Oil Coconut,,,,,
Hairfall Control Kit,Hairfall Control Kit,4.5,349, 250ml, 250,l,250,ml,Volumn,0%,Hair Shampoo,Tea Tree Oil  Ginger Oil ,tea tree shampoo dandruff free hair,Tea Tree Oil Ginger Oil,,,,,
Hairfall Control Kit,Hairfall Control Kit,5,349,250 ml,250 ,l,250,ml,Volumn,0%,Hair Kit,Onion Seed Oil ,onion shampoo hair growth hair fall control onion oil plant keratin,Onion Seed Oil,,,,,
Hand Sanitizer with Lime & Neem for Killing Germs ,Hand Sanitizer With Lime & Neem For Killing Germs ,5,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Onion Oil ,onion hair mask hair fall control onion oil organic bamboo vinegar,Onion Oil,,,,,
Happy Heads Shampoo for healthy & stronger hair,Happy Heads Shampoo For Healthy & Stronger Hair,5,349, 250ml, 250,l,250,ml,Volumn,0%,Hair Oil,Tea Tree Oil ,tea tree conditioner tea tree ginger oil dandruff free hair,Tea Tree Oil,,,,,
Healthy Hair Combo : Shampoo and Conditioner,Healthy Hair Combo : Shampoo And Conditioner,Not Rated,449,30ml,30,l,30,ml,Volumn,0%,Unknown ,Vitamin C  Daisy Flower Extract  Licorice Extract  Mulberry Extract ,bye bye blemishes face cream reduce pigmentation blemishes mulberry extract vitamin c,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract,,,,,
